symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,risk_amount,cumulative_pnl,cum_max,drawdown,year,month,week,R_multiple
AAL,2021-03-25,2021-03-29,20.28,22.91,4,10.52,1.05,13.903645093966617,564.11,564.11,0.0,2021,2021-03,2021-03-29/2021-04-04,0.7566361144075143
ACRS,2021-03-25,2021-03-29,20.94,22.52,3,4.74,0.47,16.502739073182944,568.85,568.85,0.0,2021,2021-03,2021-03-29/2021-04-04,0.28722504664104703
AACG,2021-03-25,2021-03-29,3.8,4.36,11,6.16,0.62,19.989172151493364,575.01,575.01,0.0,2021,2021-03,2021-03-29/2021-04-04,0.3081668391924773
AACG,2021-03-26,2021-03-30,3.69,4.27,11,6.38,0.64,19.007479936344026,581.39,581.39,0.0,2021,2021-03,2021-03-29/2021-04-04,0.33565733181708435
AAME,2021-03-25,2021-03-30,3.76,3.55,9,-1.87,-0.19,18.482584949480064,579.52,581.39,-1.8700000000000045,2021,2021-03,2021-03-29/2021-04-04,-0.10117632382653301
AAME,2021-03-26,2021-03-30,3.63,3.55,10,-0.78,-0.08,19.335834949480063,578.74,581.39,-2.6499999999999773,2021,2021-03,2021-03-29/2021-04-04,-0.04033960788546005
ACRS,2021-03-26,2021-03-31,22.29,25.2,3,8.73,0.87,16.921715165864654,587.47,587.47,0.0,2021,2021-03,2021-03-29/2021-04-04,0.5159051499466556
AACG,2021-04-14,2021-04-19,3.08,2.99,16,-1.44,-0.14,19.059995130542355,586.03,587.47,-1.4400000000000546,2021,2021-04,2021-04-19/2021-04-25,-0.0755509112220337
AACG,2021-04-15,2021-04-20,3.13,2.85,17,-4.76,-0.48,18.90612034358113,581.27,587.47,-6.2000000000000455,2021,2021-04,2021-04-19/2021-04-25,-0.25177032164698354
AACG,2021-04-16,2021-04-20,2.87,2.85,16,-0.32,-0.03,19.13459605573931,580.9499999999999,587.47,-6.5200000000000955,2021,2021-04,2021-04-19/2021-04-25,-0.0167236349838709
AACG,2021-07-21,2021-07-23,3.05,4.13,17,18.36,1.84,19.49165951638918,599.31,599.31,0.0,2021,2021-07,2021-07-19/2021-07-25,0.941941345967097
ADAP,2021-09-15,2021-09-17,4.94,5.4,13,5.98,0.6,18.789603278063595,605.29,605.29,0.0,2021,2021-09,2021-09-13/2021-09-19,0.3182611102269256
ADAP,2021-09-16,2021-09-20,5.02,5.08,14,0.84,0.08,18.876461638738565,606.13,606.13,0.0,2021,2021-09,2021-09-20/2021-09-26,0.04449986528598872
ABUS,2021-12-07,2021-12-09,3.45,4.31,14,12.04,1.2,19.319938138982444,618.17,618.17,0.0,2021,2021-12,2021-12-06/2021-12-12,0.6231904012004321
ACAD,2021-12-22,2021-12-27,19.95,24.32,4,17.48,1.75,18.88066701266392,635.65,635.65,0.0,2021,2021-12,2021-12-27/2022-01-02,0.9258147494617407
ACET,2022-01-07,2022-01-12,14.89,14.92,6,0.18,0.02,19.799886499523435,635.8299999999999,635.8299999999999,0.0,2022,2022-01,2022-01-10/2022-01-16,0.00909096120345601
ACET,2022-01-11,2022-01-13,13.73,14.22,6,2.94,0.29,19.39790806461398,638.77,638.77,0.0,2022,2022-01,2022-01-10/2022-01-16,0.15156273502312356
ACET,2022-01-21,2022-01-25,11.8,12.69,6,5.34,0.53,17.355595493789874,644.11,644.11,0.0,2022,2022-01,2022-01-24/2022-01-30,0.3076817503560015
ACAD,2022-03-15,2022-03-17,20.71,23.86,4,12.6,1.26,15.48303339072622,656.71,656.71,0.0,2022,2022-03,2022-03-14/2022-03-20,0.8137940209795677
ADMA,2022-03-16,2022-03-18,1.44,1.71,69,18.63,1.86,16.755556794078938,675.34,675.34,0.0,2022,2022-03,2022-03-14/2022-03-20,1.1118699443389104
ADMA,2022-03-24,2022-03-28,1.36,1.76,73,29.2,2.92,19.988407540923962,704.5400000000001,704.5400000000001,0.0,2022,2022-03,2022-03-28/2022-04-03,1.4608467403026661
ACAD,2022-04-12,2022-04-14,21.97,23.47,4,6.0,0.6,14.936671393929686,710.5400000000001,710.5400000000001,0.0,2022,2022-04,2022-04-11/2022-04-17,0.4016959228572452
ACAD,2022-04-13,2022-04-18,21.76,22.41,4,2.6,0.26,14.605904254536725,713.1400000000001,713.1400000000001,0.0,2022,2022-04,2022-04-18/2022-04-24,0.1780102042769736
